Nom établissement,Adresse,Numéro de téléphone,Type d'établissement,Priorité,Propriétaire,SIREN
Assia Zerfaoui,7 RUE JEAN FAUCONNET 69005 LYON,,Boulangerie,3,Lina,933711327
Patisserie De La Rose,7 RUE OCTAVIO MEY 69005 LYON,,Boulangerie,3,Lina,351700299
Olivier Bolliger,3 RUE DE LA GARDE 69005 LYON,,Boulangerie,3,Lina,409717543
Le Boulanger De Saint Just,ANGLE RUE DES FARGUES PLACE ABBE LARUE 69005 LYON,,Boulangerie,3,Lina,808981435
Maison Saint Irenee Gourru Et Fetishi,54 RUE DES CHEVAUCHEURS 69005 LYON,,Boulangerie,3,Lina,752500173
Grains De Sucres,45 RUE DE TRION 69005 LYON,,Boulangerie,3,Lina,884485541
Boulanger Staff,2 B RUE MAURICE BELLEMAIN 69005 LYON,,Boulangerie,3,Lina,904822483
Seve,6 RUE DES AQUEDUCS 69005 LYON,,Boulangerie,3,Lina,438648487
Pralus,27 RUE SAINT JEAN 69005 LYON,,Boulangerie,3,Lina,800633620
Bruno Saladino,66 RUE SAINT JEAN 69005 LYON,,Boulangerie,3,Lina,520271073
Perroudon Saint Jean,5 AVENUE ADOLPHE MAX 69005 LYON,,Boulangerie,3,Lina,417713013
Mill Factory,6 RUE OCTAVIO MEY 69005 LYON,,Boulangerie,3,Lina,899431308
David.R Le Chocolat Dans Tous Ses Eclats...,4 QUAI ROMAIN ROLLAND 69005 LYON,,Boulangerie,3,Lina,820813772
The Family,11 B PLACE SAINT PAUL 69005 LYON,,Boulangerie,3,Lina,988030953
Bernard Corret,46 RUE DU DOYENNE 69005 LYON,,Boulangerie,3,Lina,333182491
Jean Rene France,124 RUE COMMANDANT CHARCOT 69005 LYON,,Boulangerie,3,Lina,982727083
Saint Jean Delices,19 RUE SAINT JEAN 69005 LYON,,Boulangerie,3,Lina,502816788
